frame_id,obj_type,Prediction,Confidence
2-048_02353_001,MOTORCYCLE,"[ 6.7716255   0.17007366 -1.5321164   2.4062471   1.328627    1.8375587
  3.4864922 ]",0.86725515
2-048_02366_001,MOTORCYCLE,"[ 28.446169  -15.081347   -1.2007157   2.7675872   1.4236996   1.8787383
   6.1758175]",0.9212743
2-048_02367_001,MOTORCYCLE,"[18.22438   10.209658  -1.2920264  2.6361394  1.3928779  1.8063112
  3.7739177]",0.93304104
2-048_02368_001,MOTORCYCLE,"[49.52665    -0.31278694 -1.0827123   2.7974524   1.390305    1.9250005
  1.5779262 ]",0.9327607
2-048_02369_001,MOTORCYCLE,"[ 23.298082  -11.063112   -1.282741    2.7140076   1.4523177   1.9248085
   6.2253685]",0.9526319
2-048_02369_001,CAR,"[78.690926  29.891043  -0.9714971  5.2117667  2.91627    1.9144093
  2.924267 ]",0.8956451
2-048_03400_001,PEDESTRIAN,"[29.055754  -9.2724    -1.2827784  1.0272045  0.915994   1.8593148
  3.6421988]",0.8385461
2-048_03400_001,PEDESTRIAN,"[13.164247  35.100903  -1.1445019  1.9188354  1.7837262  1.90878
  4.7756605]",0.68541867
2-048_03401_001,PEDESTRIAN,"[41.95761    -4.754325   -1.3271856   1.0222509   0.86239165  1.8826231
  2.9138684 ]",0.8263211
2-048_03401_001,PEDESTRIAN,"[49.01653    5.4094954 -1.1567049  0.9532811  0.889066   1.8997009
  5.6258297]",0.43775088
2-048_03402_001,PEDESTRIAN,"[40.11782   -2.9757435 -1.2871587  1.0760632  0.9476276  1.9023235
  6.699524 ]",0.84971887
2-048_03403_001,PEDESTRIAN,"[26.040606   -4.7380147  -1.3057016   0.7948981   0.72874314  1.8521281
  2.693817  ]",0.8365661
2-048_03404_001,PEDESTRIAN,"[24.33945     9.099234   -1.2296137   0.94636893  0.76926273  1.824619
  1.4523097 ]",0.77502215
2-048_03404_001,PEDESTRIAN,"[49.042347    5.359629   -1.1225206   0.950976    0.88902974  1.8923234
  5.2849894 ]",0.46891102
2-048_03404_001,CAR,"[79.553665  40.01109   -1.6828656  4.6344714  2.2954385  1.7744478
  2.3229263]",0.23769954
2-048_03405_001,PEDESTRIAN,"[21.880491   -2.0993695  -1.294365    0.7774642   0.49290767  1.8069851
  4.713406  ]",0.854544
2-048_03405_001,CAR,"[80.52924   39.061504  -1.2761848  4.96975    2.5129397  1.8843232
  2.4390538]",0.22375163
2-048_03406_001,PEDESTRIAN,"[ 25.282082   -14.91308     -1.4025471    0.6052053    0.61671275
   1.7394435    5.9576416 ]",0.69211614
2-048_03407_001,PEDESTRIAN,"[ 31.21987   -10.161281   -1.3345858   1.028224    0.8814947   1.8666388
   0.8838367]",0.8112889
2-048_03410_001,PEDESTRIAN,"[ 36.849815  -15.747676   -1.4660908   1.0218035   0.8505933   1.8290014
   1.5804431]",0.8349517
2-048_03410_001,PEDESTRIAN,"[46.707672  -3.408339  -1.6062434  1.4301251  1.3115174  2.023945
  1.6635382]",0.10581063
2-048_03411_001,PEDESTRIAN,"[41.02602   -3.98488   -1.2278074  1.0695659  0.9219683  1.8673283
  1.511718 ]",0.7810922
2-048_03412_001,PEDESTRIAN,"[48.194077    5.849313   -1.2263131   1.0369487   0.96194357  1.8625194
  3.4159179 ]",0.25099328
2-048_03413_001,PEDESTRIAN,"[47.54894   -5.4913907 -1.1273971  1.0514016  1.0050039  1.9590696
  4.9434257]",0.87348497
2-048_03414_001,PEDESTRIAN,"[ 43.251736   -17.404552    -1.3494681    1.0680922    0.90263677
   1.8548244    3.847312  ]",0.88248205
2-048_03415_001,PEDESTRIAN,"[ 34.62676   -11.104373   -1.3165199   1.0374411   0.8932712   1.8111969
   2.0358315]",0.82623404
2-048_03416_001,PEDESTRIAN,"[33.99981   -1.1177186 -1.2467513  1.0614349  0.8888968  1.8117474
  2.224978 ]",0.8084936
2-048_03416_001,PEDESTRIAN,"[49.041096    5.3041687  -1.1004237   0.97652215  0.95443374  1.8633517
  5.0472    ]",0.121672116
2-048_03417_001,PEDESTRIAN,"[34.13748    -9.613468   -1.3782542   1.0808313   0.87436956  1.8078154
  5.150519  ]",0.84445125
2-048_03418_001,PEDESTRIAN,"[ 34.688908   -20.404903    -1.4386102    0.8768862    0.63829166
   1.780468     4.656948  ]",0.688367
2-048_03419_001,PEDESTRIAN,"[ 40.553017  -15.106242   -1.309314    1.0225749   0.8831996   1.8006933
   1.1734029]",0.7880499
2-048_03420_001,PEDESTRIAN,"[41.690823  -3.2648962 -1.2638423  1.1219921  0.9286588  1.8765748
  6.6062737]",0.85736936
2-048_03421_001,PEDESTRIAN,"[ 33.87547    -13.756253    -1.3592677    1.083026     0.91888094
   1.8499653    4.492611  ]",0.83802646
2-048_03422_001,PEDESTRIAN,"[ 26.740448   -15.181265    -1.3148667    1.0729645    0.95204014
   1.9180532    1.3863724 ]",0.8418092
2-048_03422_001,CAR,"[48.177616   2.1393375 -1.0765281  5.0656276  2.5437126  1.875846
  2.996689 ]",0.1820095
2-048_03423_001,PEDESTRIAN,"[32.918213   -2.7734485  -1.4274065   0.99910915  0.8496703   1.8259965
  3.1769683 ]",0.7770329
2-048_03423_001,PEDESTRIAN,"[67.81459   -8.744757  -1.3614423  1.7850181  1.9576637  1.941023
  4.6466374]",0.13232484
2-048_03424_001,PEDESTRIAN,"[41.13857     0.60802144 -1.2291577   1.0243181   0.83959585  1.7586027
  4.8609195 ]",0.8454412
2-048_03425_001,PEDESTRIAN,"[ 37.75344   -12.3538     -1.2923127   1.0348134   0.8941502   1.8475971
   4.574215 ]",0.7818633
2-048_03426_001,PEDESTRIAN,"[ 41.21018    -15.453809    -1.2870096    1.0181807    0.84502375
   1.8092662    1.8058703 ]",0.8575776
2-048_03426_001,CAR,"[79.69163   40.052486  -1.6723678  4.635289   2.2238083  1.7875903
  2.2099338]",0.4454529
2-048_03427_001,PEDESTRIAN,"[38.975586  -1.7527635 -1.2271464  1.0349061  0.8577446  1.770006
  1.940499 ]",0.8274161
2-048_03428_001,PEDESTRIAN,"[43.57409    6.847431  -1.1949837  1.0184278  0.915316   1.8608582
  6.134155 ]",0.7817205
2-048_03429_001,PEDESTRIAN,"[48.014816   -0.5227706  -1.1648138   1.0396001   0.97167236  1.9512112
  4.40671   ]",0.87754804
2-048_03430_001,PEDESTRIAN,"[38.825375  -9.827096  -1.2846045  1.0458648  0.8805092  1.8100582
  3.962308 ]",0.825724
2-048_03431_001,PEDESTRIAN,"[ 27.902855  -13.421063   -1.3599521   1.0337952   0.9005184   1.8720522
   2.8324878]",0.8376699
2-048_03432_001,PEDESTRIAN,"[27.089703  -1.7120416 -1.3020892  1.0899118  0.9628344  1.8884344
  1.483425 ]",0.88095576
2-048_03433_001,PEDESTRIAN,"[27.784903   8.452986  -1.2261355  0.9932551  0.8946972  1.852952
  3.4441302]",0.80422777
2-048_03434_001,PEDESTRIAN,"[27.057964  -3.5386753 -1.3065957  1.0851367  0.9431233  1.8845098
  4.7279334]",0.91504395
2-048_03435_001,PEDESTRIAN,"[ 30.643631   -14.308603    -1.3785267    1.0371202    0.91832495
   1.9254347    6.1407776 ]",0.75507975
2-048_21434_001,CAR,"[14.293153  -5.174289  -1.2188983  5.459466   2.6615708  2.0810041
  6.2502246]",0.95847917
2-048_21434_001,CAR,"[27.002607    0.57761943 -1.3610859   5.151954    2.6346655   1.9354621
  6.2973986 ]",0.93747777
2-048_21434_001,CAR,"[34.114765   3.447323  -1.4459022  5.2870817  2.5442154  1.8187588
  6.283945 ]",0.93002707
2-048_21434_001,CAR,"[ 2.3558412 -4.9059653 -1.3683459  5.530955   2.4790437  1.8080032
  6.304037 ]",0.92820066
2-048_21434_001,CAR,"[29.702576  -3.9249265 -1.3964194  5.4678597  2.611667   1.7260151
  6.246824 ]",0.92170614
2-048_21434_001,CAR,"[60.07098    1.7652895 -1.003746   5.4454985  2.5383685  2.0239367
  6.3643723]",0.919859
2-048_21434_001,CAR,"[78.666016   6.722511  -1.3076643  5.0457506  2.4163888  1.9017342
  6.393232 ]",0.8924283
2-048_21434_001,CAR,"[ 9.319925  -5.792054  -1.3899865  5.243795   2.3278031  1.672716
  5.539966 ]",0.8794861
2-048_21434_001,CAR,"[13.710439   3.401452  -1.3745227  5.3195186  2.4126732  1.8125234
  6.243072 ]",0.85562015
2-048_21434_001,CAR,"[20.579252  -5.0947695 -1.2285398  5.2502465  2.4226274  1.9621787
  6.377089 ]",0.8417137
2-048_21434_001,CAR,"[65.42582    9.2144    -1.143692   5.1912127  2.567246   1.9781518
  3.3015127]",0.4559897
2-048_21434_001,CAR,"[60.05802    8.797075  -1.4985107  5.4039116  2.5500362  1.9607482
  3.4301343]",0.4344443
2-048_21434_001,CAR,"[56.409542   6.8841877 -1.5339384  5.3986907  2.645725   1.985618
  2.6867342]",0.10282281
2-048_21443_001,CAR,"[40.26134    2.9225907 -0.9461909  5.5110016  2.4597952  2.039644
  6.1642966]",0.92608505
2-048_21446_001,CAR,"[26.599192   3.9922433 -1.250597   5.5461836  2.7373226  2.1034057
  6.22063  ]",0.95665467
2-048_21446_001,CAR,"[43.157177   0.2775846 -1.4633667  5.0731335  2.4284449  1.7533435
  6.199324 ]",0.9165359
2-048_21446_001,CAR,"[21.288311   9.6382265 -1.2358712  5.2144294  2.5797079  1.8405635
  3.0382326]",0.857473
2-048_21446_001,CAR,"[16.353514  13.393451  -1.149555   5.352322   2.5575213  1.9736531
  3.0876162]",0.79571044
2-048_21446_001,CAR,"[76.06601    8.552966  -2.0398958  5.3784647  2.564995   1.9669356
  2.6524234]",0.47792977
2-048_21446_001,CAR,"[80.20678   14.807288  -0.7483351  5.153723   2.601435   1.931606
  2.7454166]",0.33451334
2-048_21446_001,CAR,"[ 24.720562  -32.86723    -3.2201362   4.708347    2.1765804   1.7204585
   1.0169092]",0.13158558
2-048_21448_001,CAR,"[47.544895  13.408522  -1.2659835  5.369608   2.637109   1.9506049
  3.16683  ]",0.8823383
2-048_21448_001,CAR,"[23.383717   3.1420212 -1.0243715  5.8636007  2.5473917  2.119997
  6.319285 ]",0.8130253
2-048_21451_001,CAR,"[ 1.5330262  3.6943214 -1.3244151  5.560155   2.4314718  1.9215306
  6.2541833]",0.8203863
2-048_21451_001,CAR,"[20.10595   16.484495  -1.1350306  5.140373   2.4968247  1.8585285
  3.299251 ]",0.7653764
2-048_21452_001,CAR,"[29.678932   3.7602043 -1.4289768  5.3370547  2.4426622  1.906898
  6.254242 ]",0.9130743
2-048_21452_001,CAR,"[ 1.3762171  4.3739157 -1.5304966  5.4432273  2.5668447  1.9683853
  3.6153595]",0.56741565
2-048_21453_001,CAR,"[24.186014   3.1062    -1.144137   5.52356    2.4841774  2.0615351
  6.2461333]",0.93774307
2-048_21453_001,CAR,"[58.869766   2.942038  -1.4691868  5.270791   2.5758204  1.8846462
  6.211369 ]",0.93725723
2-048_21453_001,CAR,"[79.30862   -4.4433794 -0.9883028  5.2742147  2.5123193  2.0892467
  6.094689 ]",0.14109309
2-048_21454_001,CAR,"[36.760895  22.377144  -1.2803257  5.2626877  2.5752602  1.92666
  3.0311782]",0.8716112
2-048_21454_001,CAR,"[ 3.7227461  3.227982  -1.2595978  5.5521884  2.4450765  1.9414196
  6.234663 ]",0.81395507
2-048_21454_001,CAR,"[65.19223   19.3203    -1.7968761  5.3485274  2.5690873  2.046324
  3.1406531]",0.5598236
2-048_21454_001,CAR,"[53.609123  24.48603   -1.6662278  5.2990584  2.4593196  1.9393777
  3.003379 ]",0.45677167
2-048_21454_001,CAR,"[27.900595  27.043053  -1.4225357  5.229991   2.5274632  1.9746388
  3.0351007]",0.31606779
2-048_21455_001,CAR,"[53.362316   2.2473605 -0.9724122  5.4884677  2.5199456  2.017211
  6.214993 ]",0.93613255
2-048_21455_001,CAR,"[ 5.824283  14.09112   -1.2699571  5.306289   2.5884624  1.9343952
  3.0963995]",0.85823274
2-048_21455_001,CAR,"[ 2.7391758  3.268322  -0.9766993  5.666752   2.505688   2.023081
  6.256571 ]",0.7794458
2-048_21455_001,CAR,"[55.459785  20.489304  -1.0760527  5.0575953  2.4235494  1.8597676
  3.8589969]",0.30373538
2-048_21456_001,CAR,"[64.48655    2.645009  -1.3816159  5.2337847  2.6235971  2.0077348
  6.2995524]",0.93676823
2-048_21456_001,CAR,"[ 3.3539512  3.367047  -1.1537545  5.494017   2.4728706  2.0584652
  6.218174 ]",0.8399276
2-048_21456_001,CAR,"[65.30687    8.667127  -1.2130281  5.1501102  2.5682845  1.8832886
  3.260843 ]",0.3534206
2-048_21457_001,CAR,"[ 7.8631577  3.5153918 -1.4518697  5.470758   2.4150114  1.765292
  6.249744 ]",0.95036685
2-048_21457_001,CAR,"[58.813107   3.7210321 -1.2372818  5.099109   2.573586   1.9448773
  6.229741 ]",0.9426846
2-048_21457_001,CAR,"[17.852234  20.761562  -1.0525326  4.8771844  2.5678744  1.804471
  3.1930182]",0.79352653
2-048_21457_001,CAR,"[39.978085   33.402058   -0.71913975  5.5512147   2.6235876   1.9381926
  3.5993547 ]",0.2768742
2-048_21462_001,CAR,"[15.74653    -0.46226966 -1.3525685   5.388624    2.5101938   1.6740688
  6.237762  ]",0.9771812
2-048_21462_001,CAR,"[42.42494    3.3844218 -1.1342626  5.3744836  2.3898895  1.9924419
  6.2303424]",0.94152457
2-048_21462_001,CAR,"[23.222607   3.6933043 -1.1617517  4.986673   2.4794176  1.9658232
  6.224525 ]",0.9234409
2-048_21462_001,CAR,"[37.25086    8.544973  -1.1736057  5.1445117  2.5023842  1.8150508
  3.0597727]",0.7002656
2-048_21462_001,CAR,"[72.59322   11.257989  -1.2453994  5.0636744  2.5530808  1.8400985
  3.2477148]",0.5812484
2-048_21462_001,CAR,"[64.33458    11.357421   -0.80450827  5.608234    2.7126126   2.0153377
  2.9983048 ]",0.368519
2-048_21463_001,CAR,"[36.41095    3.739127  -1.1335785  5.766576   2.5907776  2.09765
  6.2218585]",0.95729494
2-048_21463_001,CAR,"[16.814758   -0.14308777 -1.3758861   5.362626    2.5971024   1.6179305
  6.2171206 ]",0.9537953
2-048_21463_001,CAR,"[73.35479    2.5854607 -0.9914273  5.1174583  2.4898472  2.0437922
  6.1435175]",0.86816573
2-048_21463_001,CAR,"[ 5.757466   8.780601  -1.3058587  5.073759   2.5349314  1.7773076
  3.069418 ]",0.6541229
2-048_21463_001,CAR,"[78.60317   12.141116  -1.0531611  5.652378   2.617727   2.1226501
  6.169332 ]",0.5467481
2-048_21463_001,CAR,"[76.7912     5.5034466 -0.7476262  5.2874093  2.641961   1.9303496
  2.6476645]",0.36549267
2-048_21464_001,CAR,"[24.583857  -0.1834785 -1.2932674  5.335142   2.5516484  1.7122769
  6.247509 ]",0.97992355
2-048_21464_001,CAR,"[23.510187   3.8260908 -1.1438631  5.634586   2.6818419  2.1194663
  6.2577286]",0.9598039
2-048_21464_001,CAR,"[42.256016   3.6410322 -1.0106622  5.8490176  2.5507798  2.0815494
  6.249555 ]",0.92842185
2-048_21464_001,CAR,"[ 9.316654   3.8812268 -1.3886105  5.558197   2.453004   1.7839882
  6.2565517]",0.9225624
2-048_21464_001,CAR,"[24.034182   8.521323  -1.3124913  5.284576   2.54103    1.9506317
  3.1294262]",0.9123581
2-048_21464_001,CAR,"[66.88855    1.8929819 -0.9744265  5.0536904  2.4180276  2.0038056
  6.136582 ]",0.7380076
2-048_21464_001,PEDESTRIAN,"[22.804697  26.151894  -1.4537928  1.5181568  1.3658217  1.9435354
  2.116829 ]",0.37399182
2-048_21465_001,CAR,"[17.079737  -0.4675785 -1.3481563  5.4964495  2.6461034  1.6682785
  6.2414637]",0.9740286
2-048_21465_001,CAR,"[ 4.7992983  3.9303815 -1.4628266  5.4270296  2.4135277  1.7972946
  6.259552 ]",0.914513
2-048_21465_001,CAR,"[60.692635   4.1148567 -1.4419274  5.7287583  2.612031   1.987018
  6.2517986]",0.9021936
2-048_21465_001,CAR,"[28.643839   4.1281624 -1.3591355  5.4531503  2.5755649  2.017493
  6.2320256]",0.8997144
2-048_21465_001,CAR,"[66.026474  -0.53107   -1.8029222  5.3706427  2.552913   1.9816761
  6.093618 ]",0.7687894
2-048_21465_001,CAR,"[75.211205  -6.470365  -1.9163731  5.344958   2.5106833  2.0536141
  2.9396691]",0.7196341
2-048_21465_001,PEDESTRIAN,"[53.65406   -4.2194214 -1.1904547  1.1662364  1.0061216  1.911775
  2.948611 ]",0.47986826
2-048_21465_001,CAR,"[ 17.278463   -11.5201025   -0.68588644   5.4423966    2.6590753
   1.9243658    2.7154105 ]",0.38805923
2-048_21465_001,CAR,"[51.50928   -4.92692   -1.0540395  5.750838   2.8397095  2.098411
  3.0190065]",0.29984158
2-048_21465_001,CAR,"[45.599014  -3.9845622 -1.4346181  5.24117    2.5767303  1.9407911
  2.9796724]",0.12155595
2-048_21465_001,CAR,"[40.131454  -5.341177  -1.2730702  5.39038    2.5660057  1.9345535
  3.2181842]",0.10368072
2-048_21466_001,CAR,"[22.946539  -1.3144132 -1.3004824  5.5509305  2.6640275  1.6686934
  6.1643734]",0.9496013
2-048_21466_001,CAR,"[37.894566  15.7516    -1.4558903  5.5843897  2.6334152  1.9930927
  2.6583014]",0.45554203
2-048_21466_001,CAR,"[65.58566   25.061625  -0.3940569  5.6026487  2.6956425  1.9331853
  3.2729886]",0.3403085
2-048_21467_001,CAR,"[22.668077  -1.0449466 -1.5095202  5.5183196  2.6664019  1.730494
  6.246237 ]",0.93943965
2-048_21468_001,CAR,"[26.114063  -1.1857425 -1.2938439  5.453096   2.6641998  1.7003008
  6.1683564]",0.9810038
2-048_21469_001,CAR,"[ 5.7521854e+01  3.9541738e+00 -1.2715273e-03  5.6332121e+00
  2.7095490e+00  2.0103152e+00  6.1317072e+00]",0.93314296
2-048_21469_001,CAR,"[44.003372   -2.7955399  -0.45558375  5.2758827   2.6002502   1.8804775
  6.175481  ]",0.8928504
2-048_21469_001,CAR,"[55.8131     8.862672  -0.9857188  5.552807   2.5899901  2.0188632
  3.073553 ]",0.31869742
2-048_21469_001,CAR,"[65.3984     7.199043  -0.9398615  5.2418838  2.6112542  1.9273431
  2.8622065]",0.3077905
2-048_21469_001,CAR,"[62.16388   -6.557755  -0.8692412  5.5565805  2.738468   2.0318763
  2.922052 ]",0.26513803
2-048_21469_001,CAR,"[68.81025   -2.9112153 -1.0555947  5.2391534  2.5935457  1.9305236
  2.5696545]",0.18479678
2-048_21469_001,CAR,"[70.72996    -7.4044275  -0.91995966  4.947285    2.3241193   1.7984982
  5.12586   ]",0.15124458
2-048_21469_001,CAR,"[60.767178    9.218979   -0.17958719  5.407255    2.7208266   1.9610822
  2.9058318 ]",0.12458187
2-048_21469_001,CAR,"[66.96124     1.8577087  -0.89098495  5.69634     2.8607478   1.9980539
  2.7581873 ]",0.10859158
2-048_21469_001,CAR,"[62.722904  -2.9152312 -0.7760027  5.240992   2.6267967  1.8700714
  2.6243095]",0.10744444
2-048_21469_001,CAR,"[76.244026  -7.754788  -1.033779   4.8795652  2.4837923  1.8216187
  2.797509 ]",0.10221613
2-048_21470_001,CAR,"[ 4.7210712  3.119962  -1.2797823  5.725145   2.5688367  1.9788661
  6.2438245]",0.88095105
2-048_21470_001,CAR,"[72.59399   10.619016  -1.117312   5.5938287  2.7248764  2.0034518
  3.0052102]",0.6862402
2-048_21470_001,CAR,"[38.308006   7.764426  -1.2403746  5.077648   2.4797263  1.825598
  3.064969 ]",0.68211734
2-048_21470_001,CAR,"[ 12.942298  -38.079754   -2.9059374   4.7197237   2.2299411   1.7457978
   1.513859 ]",0.40255117
2-048_21471_001,CAR,"[11.1728525  3.3342185 -1.4952314  5.535767   2.4590476  1.8396056
  6.2324953]",0.96473795
2-048_21471_001,CAR,"[57.14682   12.021234  -1.3606983  5.110005   2.6097357  1.8774014
  3.140023 ]",0.8408305
2-048_21471_001,CAR,"[11.427645  32.684002  -0.7938659  5.474731   2.6491337  1.9826694
  3.1852846]",0.16646066
2-048_21472_001,CAR,"[20.195415   3.043319  -1.3271185  5.4565535  2.4657242  1.8409253
  6.2357016]",0.9114066
2-048_21472_001,CAR,"[40.54195    8.078318  -0.9291372  5.219625   2.8194678  1.8200116
  3.0532928]",0.8980177
2-048_21473_001,CAR,"[30.963404   2.5865197 -1.3833431  5.340731   2.4138694  1.7268764
  6.249883 ]",0.9458858
2-048_21473_001,CAR,"[ 0.966812   3.528962  -1.2667221  5.881537   2.5406833  1.8463529
  6.1841726]",0.77656025
2-048_21473_001,CAR,"[ 55.79783   -32.617764   -1.0180559   5.3539124   2.5560958   2.0288684
   6.2163105]",0.17672737
2-048_21474_001,CAR,"[39.775776   2.5304344 -1.4741197  5.355312   2.4544625  1.8056082
  6.255412 ]",0.95979154
2-048_21474_001,CAR,"[12.139079   3.2256408 -1.4429082  5.4499846  2.435059   1.783043
  6.234156 ]",0.9471484
2-048_21474_001,CAR,"[ 7.5476427 11.693373  -1.3828877  5.326008   2.623207   1.9196858
  3.131841 ]",0.8601148
2-048_21474_001,CAR,"[19.86678    8.079724  -1.2378767  5.0330057  2.5143776  1.7836148
  3.1895773]",0.67202085
2-048_21474_001,CAR,"[ 8.377096  -4.74203   -1.8081976  5.146318   2.3937638  1.9514867
  3.1676548]",0.22863442
2-048_21475_001,CAR,"[10.156916   2.9807699 -1.2341462  5.487365   2.6153314  2.0896447
  6.2179346]",0.93705887
2-048_21475_001,CAR,"[73.893234    0.37679142 -1.2798399   5.3794503   2.9494772   2.1917405
  6.2793155 ]",0.92044437
